srx	srr
SRX010956	SRR026891
SRX010956	SRR026892
SRX010956	SRR026918
SRX010956	SRR026944
SRX010956	SRR026945
SRX010956	SRR026965
SRX010956	SRR026966
SRX010957	SRR026946
SRX010957	SRR026947
SRX010957	SRR026948
SRX010957	SRR026949
SRX010957	SRR026950
SRX010957	SRR026951
SRX010957	SRR026952
SRX010957	SRR026953
SRX010957	SRR026954
SRX015838	SRR034205
SRX015839	SRR034206
SRX148400	SRR497717
SRX148401	SRR497721
SRX148402	SRR497725
SRX148403	SRR497720
SRX148404	SRR497712
SRX148405	SRR497718
SRX148406	SRR497723
SRX148407	SRR497726
SRX148408	SRR497716
SRX148409	SRR497727
SRX148410	SRR497722
SRX148411	SRR497719
SRX148412	SRR497710
SRX148413	SRR497715
SRX148414	SRR497730
SRX148415	SRR497714
SRX148416	SRR497711
SRX148417	SRR497728
SRX148418	SRR497713
SRX148419	SRR497724
SRX148420	SRR497729
SRX1509865	SRR3068922
SRX1509866	SRR3068923
SRX1509867	SRR3068924
SRX1509868	SRR3068925
SRX1509869	SRR3068926
SRX1509870	SRR3068927
SRX1509871	SRR3068928
SRX1509872	SRR3068929
SRX1509873	SRR3068930
SRX1509874	SRR3068931
SRX1509875	SRR3068932
SRX1509876	SRR3068933
SRX1509877	SRR3068934
SRX1509878	SRR3068935
SRX1509879	SRR3068936
SRX1509880	SRR3068937
SRX1509881	SRR3068938
SRX1509882	SRR3068939
SRX1509883	SRR3068940
SRX1509884	SRR3068941
SRX1509885	SRR3068942
SRX1509886	SRR3068943
SRX1509887	SRR3068944
SRX1509888	SRR3068945
SRX1509889	SRR3068946
SRX1509890	SRR3068947
SRX1509891	SRR3068948
SRX1509892	SRR3068949
SRX1509893	SRR3068950
SRX1509894	SRR3068951
SRX1509895	SRR3068952
SRX1509896	SRR3068953
SRX193620	SRR612107
SRX193621	SRR612109
SRX193622	SRR612111
SRX193623	SRR612112
SRX193624	SRR612105
SRX193625	SRR612106
